== beispiele_03_format_gab.lean: errors 0, sorry 0, secs 1
== beispiele_06_annahmen_gab.lean: errors 0, sorry 0, secs 1
== beispiele_02_geraet_gab.lean: errors 0, sorry 0, secs 1
== beispiele_07_eintritt_und_boot_gab.lean: errors 0, sorry 0, secs 0
== beispiele_04_schleifen_gab.lean: errors 0, sorry 0, secs 1
== beispiele_05_nebenlaeufigkeit_gab.lean: errors 0, sorry 0, secs 2
== beispiele_11_grammatikbefunde_gab.lean: errors 0, sorry 0, secs 1
== beispiele_11a_divergenz_endet_gab.lean: errors 0, sorry 0, secs 2
== beispiele_10_geteilte_sperre_gab.lean: errors 0, sorry 0, secs 3
== beispiele_12_umlaufendes_register_gab.lean: errors 0, sorry 0, secs 1
== beispiele_13_zeuge_mit_staerke_gab.lean: errors 0, sorry 0, secs 2
== beispiele_14_paarung_ueber_zwischenfunktion_gab.lean: errors 0, sorry 0, secs 1
== beispiele_15_own_traegt_beide_rechte_gab.lean: errors 0, sorry 0, secs 1
== beispiele_16_by_ops_am_feld_gab.lean: errors 0, sorry 0, secs 1
== beispiele_18_vorfahren_gab.lean: errors 0, sorry 0, secs 3
== beispiele_19_traversierung_gab.lean: errors 0, sorry 1, secs 2
== beispiele_20_falle_vier_gab.lean: errors 0, sorry 0, secs 0
== beispiele_21_verbundwert_gab.lean: errors 0, sorry 0, secs 1
== beispiele_17_gruppe_ueber_zwei_sperren_gab.lean: errors 0, sorry 0, secs 4
== beispiele_22_bootstrecke_gab.lean: errors 0, sorry 0, secs 2
== beispiele_23_akkumulatoren_gab.lean: errors 0, sorry 0, secs 1
== beispiele_24_ip_kopf_gab.lean: errors 0, sorry 0, secs 1
== beispiele_26_gleitkomma_gab.lean: errors 0, sorry 0, secs 1
== beispiele_25_entrust_gab.lean: errors 0, sorry 0, secs 1
== beispiele_27_freiliste_gab.lean: errors 0, sorry 0, secs 2
== beispiele_08_bereiche_gab.lean: errors 0, sorry 0, secs 11
== beispiele_29_undurchsichtig_gab.lean: errors 0, sorry 0, secs 2
== beispiele_31_rcu_gab.lean: errors 0, sorry 0, secs 1
== beispiele_28_reserve_und_hinterlegung_gab.lean: errors 0, sorry 0, secs 3
== beispiele_32_zeichenkette_gab.lean: errors 0, sorry 0, secs 2
== beispiele_35_tausch_gab.lean: errors 0, sorry 0, secs 1
== beispiele_36_asm_gab.lean: errors 0, sorry 0, secs 2
== beispiele_33_rekursion_gab.lean: errors 0, sorry 0, secs 3
== beispiele_37_umlauf_rechnet_gab.lean: errors 0, sorry 0, secs 1
== beispiele_38_unveraenderlicher_zeiger_gab.lean: errors 0, sorry 0, secs 1
== beispiele_34_markierter_wert_gab.lean: errors 0, sorry 0, secs 4
== beispiele_40_werte_und_griffe_gab.lean: errors 0, sorry 0, secs 1
== beispiele_43_gegenprobe_gab.lean: errors 0, sorry 0, secs 2
== beispiele_42_zaehlwerk_gab.lean: errors 0, sorry 0, secs 3
== beispiele_45_gemischte_registerklasse_gab.lean: errors 0, sorry 0, secs 0
== beispiele_44_register_einmal_lesen_gab.lean: errors 0, sorry 0, secs 1
== beispiele_41_handschlag_gab.lean: errors 0, sorry 0, secs 4
== beispiele_47_ops_wortmenge_gab.lean: errors 0, sorry 0, secs 2
== beispiele_46_verneinung_gab.lean: errors 0, sorry 1, secs 3
== beispiele_49_dispatch_tabelle_gab.lean: errors 0, sorry 0, secs 1
== beispiele_51_abwesenheit_und_absage_gab.lean: errors 0, sorry 0, secs 1
== beispiele_50_verfeinerung_gab.lean: errors 0, sorry 0, secs 1
== beispiele_48_grund_mit_erzeuger_gab.lean: errors 0, sorry 0, secs 3
== beispiele_52_baugatter_gab.lean: errors 0, sorry 0, secs 1
== beispiele_39_auftragsdienst_gab.lean: errors 0, sorry 0, secs 9
== beispiele_54_divergenz_leckt_nicht_gab.lean: errors 0, sorry 0, secs 1
== beispiele_57_faedenhalt_gab.lean: errors 0, sorry 0, secs 1
== beispiele_53_zwei_orte_gab.lean: errors 0, sorry 0, secs 2
== beispiele_56_auftragsring_gab.lean: errors 0, sorry 1, secs 2
== beispiele_60_annahme_mit_maschine_gab.lean: errors 0, sorry 0, secs 1
== beispiele_59_eintritt_nimmt_maskierte_sperre_gab.lean: errors 0, sorry 0, secs 2
== beispiele_61_invertierung_gab.lean: errors 0, sorry 0, secs 0
== beispiele_62_grenzwort_im_ausdruck_gab.lean: errors 0, sorry 0, secs 1
== beispiele_63_druckt_gab.lean: errors 0, sorry 0, secs 2
== beispiele_64_writes_a_whole_buffer_gab.lean: errors 0, sorry 0, secs 1
== beispiele_65_port_space_gab.lean: errors 0, sorry 0, secs 1
== beispiele_67_befehlsebene_gab.lean: errors 0, sorry 0, secs 0
== beispiele_09_ohne_zeiger_gab.lean: errors 0, sorry 3, secs 30
== beispiele_66_transport_rueckgabe_gab.lean: errors 0, sorry 0, secs 2
== beispiele_68_named_space_matches_itself_gab.lean: errors 0, sorry 0, secs 1
== beispiele_69_integer_conversion_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_166_wachhund_nennt_nichts_gab.lean: errors 0, sorry 0, secs 1
== beispiele_58_freiliste_zwei_formen_gab.lean: errors 0, sorry 0, secs 7
== beispiele_gift_194_cas_schleife_ohne_schranke_gab.lean: errors 0, sorry 0, secs 1
== beispiele_70_kernel_namen_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_195_descendants_ohne_tree_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_197_bitgruppe_ohne_ganzzahlfeld_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_215_bitfeld_links_vom_gleich_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_196_descendants_nur_mit_elter_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_291_formatbereich_an_reserviertem_feld_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_219_unaeres_minus_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_292_formatbereich_mit_skalierung_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_294_ganzwort_zug_nennt_keinen_feldnamen_gab.lean: errors 0, sorry 0, secs 0
== beispiele_55_kindkette_gab.lean: errors 0, sorry 1, secs 11
== beispiele_gift_333_ops_relabel_ohne_elternkante_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_414_tabellenspeicher_heisst_so_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_286_maintains_ohne_schreiben_gab.lean: errors 0, sorry 0, secs 2
== beispiele_gift_415_portzeiger_im_eigenen_rumpf_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_416_geraet_am_portraum_gab.lean: errors 0, sorry 0, secs 0
== beispiele_gift_441_ruecksetzung_verlaesst_den_bereich_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_442_ruecksetzung_erfindet_eine_kante_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_434_laufvariable_verdeckt_die_tabelle_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_445_tilde_in_einer_konstanten_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_435_slots_of_laufvariable_gab.lean: errors 0, sorry 0, secs 2
== beispiele_gift_446_tilde_in_einer_where_klausel_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_602_an_array_length_the_emitter_read_as_minus_one_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_605_an_array_field_takes_only_zero_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_644_a_scale_wider_than_any_c_integer_gab.lean: errors 0, sorry 0, secs 0
== beispiele_gift_641_a_descent_over_a_field_with_no_reader_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_645_an_array_longer_than_c_can_object_to_gab.lean: errors 0, sorry 0, secs 0
== beispiele_gift_646_a_section_name_that_closes_the_c_string_gab.lean: errors 0, sorry 0, secs 0
== beispiele_gift_655_a_bank_in_the_port_space_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_653_a_sixty_four_bit_register_at_a_port_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_642_a_forever_loop_in_a_function_that_answers_gab.lean: errors 0, sorry 1, secs 1
== beispiele_gift_656_a_port_base_wider_than_a_port_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_654_a_compound_assignment_to_a_port_register_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_663_a_section_name_that_is_empty_gab.lean: errors 0, sorry 0, secs 0
== beispiele_gift_664_a_section_name_that_is_a_space_gab.lean: errors 0, sorry 0, secs 0
== beispiele_gift_665_two_string_literals_join_with_a_space_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_657_a_port_number_past_the_port_space_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_658_an_update_body_that_falls_through_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_666_a_reason_value_past_the_c_enumerator_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_667_walk_levels_is_an_expression_gab.lean: errors 0, sorry 0, secs 1
== beispiele_gift_672_two_devices_share_a_name_gab.lean: errors 0, sorry 0, secs 0
== messung_abi_proben_lib_geraet_gab.lean: errors 0, sorry 0, secs 1
== messung_abi_proben_bib_fach_gab.lean: errors 0, sorry 0, secs 1
== messung_abi_proben_zaehlwerk_gab.lean: errors 0, sorry 0, secs 1
== messung_abi_proben_lib_speicher_gab.lean: errors 0, sorry 0, secs 2
== messung_abi_proben_bib_mischen_gab.lean: errors 0, sorry 0, secs 2
== messung_einheit_proben_kollision_x_gab.lean: errors 0, sorry 0, secs 1
== messung_einheit_proben_kollision_y_gab.lean: errors 0, sorry 0, secs 1
== messung_einheit_proben_pub_a_gab.lean: errors 0, sorry 0, secs 1
== messung_einheit_proben_prog_vorrat_gab.lean: errors 0, sorry 0, secs 1
== messung_caprock_planer_gab.lean: errors 0, sorry 0, secs 2
== messung_fragmente_F02_gab.lean: errors 0, sorry 0, secs 0
== messung_fragmente_F04_gab.lean: errors 0, sorry 0, secs 1
== messung_fragmente_F05_gab.lean: errors 0, sorry 0, secs 1
== messung_fragmente_F07_gab.lean: errors 0, sorry 0, secs 1
== messung_fragmente_F08_gab.lean: errors 0, sorry 0, secs 2
== messung_fragmente_F09_gab.lean: errors 0, sorry 0, secs 1
== messung_grammatik_blocklauf_gab.lean: errors 0, sorry 0, secs 1
== messung_fragmente_F10_gab.lean: errors 0, sorry 0, secs 4
== messung_grammatik_geraeteworte_gab.lean: errors 0, sorry 0, secs 2
== messung_grammatik_raumworte_gab.lean: errors 0, sorry 0, secs 1
== messung_grammatik_messreihe_gab.lean: errors 0, sorry 0, secs 1
== messung_grammatik_zahlbreiten_gab.lean: errors 0, sorry 0, secs 2
== messung_grammatik_tabellenworte_gab.lean: errors 0, sorry 0, secs 2
== messung_grenze_grenze_gab.lean: errors 0, sorry 0, secs 1
== beispiele_01_tabelle_gab.lean: errors 0, sorry 4, secs 56
== messung_proben_probe_besitz_zwei_typen_gab.lean: errors 0, sorry 0, secs 4
== messung_proben_probe_ecam_faehigkeitenlauf_gab.lean: errors 0, sorry 0, secs 0
== messung_fragmente_F06_gab.lean: errors 0, sorry 2, secs 16
== messung_proben_probe_c_namen_frei_gab.lean: errors 0, sorry 0, secs 3
== messung_proben_probe_eintritt_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_eintritt_privat_gab.lean: errors 0, sorry 0, secs 1
== messung_netz_udp_echo_gab.lean: errors 0, sorry 1, secs 7
== messung_proben_probe_eintritt_parameter_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_eintritt_ungebunden_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_eintritt_zwei_gab.lean: errors 0, sorry 0, secs 0
== messung_proben_probe_erzeugernamen_frei_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_f32_literal_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_extern_bindet_c_gab.lean: errors 0, sorry 0, secs 2
== messung_proben_probe_fehlerkanal_verbundwert_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_fehlerkanal_ohne_ergebnis_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_griffname_doppelt_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_feldzugriffe_frei_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_elems_gab.lean: errors 0, sorry 1, secs 3
== messung_proben_probe_let_ohne_leser_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_literal_past_the_signed_end_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_marke_an_retry_und_traverse_gab.lean: errors 0, sorry 0, secs 2
== messung_proben_probe_ipc_fastpath_durchgestochen_gab.lean: errors 0, sorry 0, secs 3
== messung_proben_probe_port_nachfrage_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_match_ruf_gab.lean: errors 0, sorry 0, secs 2
== messung_proben_probe_neun_domaenen_gab.lean: errors 0, sorry 5, secs 2
== messung_proben_probe_probenurteil_schleife_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_queue_traverse_checks_clean_and_has_no_lowering_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_ruecksetzung_abgeleitet_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_static_past_the_signed_end_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_region_schnitt_und_nullen_gab.lean: errors 0, sorry 0, secs 2
== messung_proben_probe_netz_rahmen_und_ergebnis_gab.lean: errors 0, sorry 0, secs 5
== messung_proben_probe_transport_kick_berechneter_versatz_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_stellungen_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_rekursion_in_schleife_gab.lean: errors 0, sorry 0, secs 4
== messung_proben_probe_transport_poll_used_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_transport_merkmale_aushandeln_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_suchschleife_passfach_gab.lean: errors 0, sorry 1, secs 2
== messung_proben_probe_unbekannter_ruf_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_transport_ruecksetzen_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_vergleich_gab.lean: errors 0, sorry 0, secs 2
== messung_proben_probe_wildcard_ruecksetzung_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_zeugnis_injektiv_a_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_zeugnis_injektiv_b_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_zeugenpflicht_gab.lean: errors 0, sorry 0, secs 3
== messung_proben_probe_zwei_gibibyte_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_probe_transport_warteschlange_aufsetzen_gab.lean: errors 0, sorry 0, secs 5
== messung_tor_proben_t10_zwei_tore_im_kreis_gab.lean: errors 0, sorry 0, secs 1
== messung_proben_unseen_fat_reader2_gab.lean: errors 0, sorry 0, secs 2
== messung_stille_proben_m6_order_gab.lean: errors 0, sorry 0, secs 1
== messung_tor_proben_t1_tor_schreibt_gab.lean: errors 0, sorry 0, secs 1
== messung_tor_proben_t6_gegenprobe_gibt_es_nicht_gab.lean: errors 0, sorry 0, secs 1
== messung_tor_proben_t4_tor_falsche_signatur_gab.lean: errors 0, sorry 0, secs 1
== messung_tor_proben_t9_check_gattert_sich_selbst_gab.lean: errors 0, sorry 0, secs 1
== messung_caprock_kapraum_gab.lean: errors 0, sorry 3, secs 40
== messung_treiber_virtio_net_gab.lean: errors 0, sorry 0, secs 5
== messung_fragmente_F01_gab.lean: errors 0, sorry 4, secs 66
DONE
